Fecha,Id.Caso,Primer_contacto,Hora,Duracion,,Tiempo_1ra_Respuesta,Tiempo en cola espera,Tiempo de espera cliente[s],Total Mensajes,Comentarios,Intervalos,DIA,Mes,Year
6/06/2022,662586,No_solucion,21:10:43,0 days 00:38:08,,21:10:42,0:00:01,0:15:35,155.920462,,21:00,Monday,June,2022
6/06/2022,662584,No_solucion,21:10:28,,,21:10:26,0:00:02,0:10:50,155.920462,,21:00,Monday,June,2022
6/06/2022,662583,No_solucion,21:09:46,0 days 00:14:26,,21:09:44,0:00:02,0:08:13,155.920462,,21:00,Monday,June,2022
6/06/2022,662579,No_solucion,21:04:29,0 days 00:35:05,,21:04:29,0:00:00,0:13:04,60,,21:00,Monday,June,2022
6/06/2022,662580,No_solucion,21:02:51,0 days 00:35:57,,21:02:49,0:00:02,0:10:46,64,,21:00,Monday,June,2022
6/06/2022,662576,No_solucion,20:58:19,0 days 00:18:44,,20:58:17,0:00:02,1:36:31,155.920462,,20:30,Monday,June,2022
6/06/2022,662573,No_solucion,20:51:39,0 days 00:14:49,,20:51:38,0:00:01,0:02:07,23,,20:30,Monday,June,2022
6/06/2022,662572,No_solucion,20:48:11,0 days 00:13:30,,,0:00:01,0:03:00,17,,20:30,Monday,June,2022
6/06/2022,662569,No_solucion,20:45:46,0 days 00:36:46,,20:45:44,0:00:02,0:15:19,52,,20:30,Monday,June,2022
6/06/2022,662568,No_solucion,20:44:11,0 days 00:26:17,,21:54:08,0:00:02,0:12:58,155.920462,,20:30,Monday,June,2022
6/06/2022,662567,No_solucion,20:41:58,0 days 00:11:18,,20:41:56,,0:01:13,155.920462,,20:30,Monday,June,2022
6/06/2022,662565,No_solucion,20:33:19,,,20:33:19,0:00:00,0:09:38,155.920462,,20:30,Monday,June,2022
6/06/2022,662563,No_solucion,20:33:02,0 days 00:21:26,,20:33:00,0:00:02,0:04:09,155.920462,,20:30,Monday,June,2022
6/06/2022,662564,No_solucion,20:32:23,0 days 00:21:46,,22:40:15,0:00:01,0:05:36,155.920462,,20:30,Monday,June,2022
6/06/2022,662562,No_solucion,20:28:20,0 days 00:40:19,,20:28:19,0:00:01,0:23:23,155.920462,,20:00,Monday,June,2022
6/06/2022,662561,No_solucion,20:25:19,,,20:25:18,0:00:01,0:24:40,155.920462,,20:00,Monday,June,2022
6/06/2022,662558,No_solucion,20:21:29,0 days 00:17:43,,20:21:27,0:00:02,0:06:58,15,,20:00,Monday,June,2022
6/06/2022,662557,No_solucion,20:20:47,0 days 00:19:47,,20:20:47,0:00:00,0:04:07,17,,20:00,Monday,June,2022
6/06/2022,662556,No_solucion,20:20:41,0 days 00:38:56,,20:20:39,0:00:02,0:21:14,69,,20:00,Monday,June,2022
6/06/2022,662555,No_solucion,20:17:24,,,20:17:23,0:00:01,0:18:28,155.920462,,20:00,Monday,June,2022
6/06/2022,662548,No_solucion,20:14:00,0 days 00:22:18,,20:13:58,0:00:02,0:05:10,155.920462,,20:00,Monday,June,2022
6/06/2022,662553,No_solucion,20:13:53,0 days 00:10:38,,20:13:52,0:00:01,0:04:45,19,,20:00,Monday,June,2022
6/06/2022,662550,No_solucion,20:09:40,0 days 00:13:05,,20:09:37,0:00:03,0:04:22,155.920462,,20:00,Monday,June,2022
6/06/2022,662551,No_solucion,20:09:14,0 days 00:15:08,,20:09:13,,0:03:51,24,,20:00,Monday,June,2022
6/06/2022,662547,No_solucion,20:05:07,0 days 00:37:35,,20:05:06,0:00:01,0:16:12,155.920462,,20:00,Monday,June,2022
6/06/2022,662545,No_solucion,19:58:58,0 days 00:15:01,,19:58:55,0:00:03,0:05:28,14,,19:30,Monday,June,2022
6/06/2022,662544,No_solucion,19:56:59,0 days 00:34:41,,19:56:59,0:00:00,0:12:03,155.920462,,19:30,Monday,June,2022
6/06/2022,662542,No_solucion,19:56:14,0 days 00:16:33,,19:56:14,0:00:00,0:10:56,155.920462,,19:30,Monday,June,2022
6/06/2022,662543,No_solucion,19:55:46,0 days 00:25:16,,0:42:40,0:00:01,0:08:11,39,,19:30,Monday,June,2022
6/06/2022,662540,No_solucion,19:50:51,0 days 00:32:19,,1:01:28,0:00:01,0:04:44,155.920462,,19:30,Monday,June,2022
6/06/2022,662539,No_solucion,19:49:37,0 days 00:19:09,,,,0:10:26,155.920462,,19:30,Monday,June,2022
6/06/2022,662535,No_solucion,19:47:57,0 days 00:40:23,,19:47:51,,0:20:00,45,,19:30,Monday,June,2022
6/06/2022,662533,No_solucion,19:45:11,0 days 00:26:56,,19:45:09,0:00:02,0:14:04,155.920462,,19:30,Monday,June,2022
6/06/2022,662529,No_solucion,19:43:20,0 days 00:28:10,,19:43:18,0:00:02,0:11:28,155.920462,,19:30,Monday,June,2022
6/06/2022,662523,No_solucion,19:40:06,0 days 00:31:32,,19:40:05,0:00:01,22:09:37,49,,19:30,Monday,June,2022
6/06/2022,662527,No_solucion,19:39:16,0 days 00:34:37,,19:39:14,,0:14:14,155.920462,,19:30,Monday,June,2022
6/06/2022,662524,No_solucion,19:37:10,0 days 00:18:45,,19:37:09,0:00:01,0:07:04,28,,19:30,Monday,June,2022
6/06/2022,662522,No_solucion,19:34:25,0 days 00:09:39,,,0:00:01,0:02:48,16,,19:30,Monday,June,2022
6/06/2022,662521,No_solucion,19:33:25,,,19:33:23,0:00:02,0:16:53,71,,19:30,Monday,June,2022
6/06/2022,662518,No_solucion,19:28:27,,,19:28:26,0:00:01,0:04:47,41,,19:00,Monday,June,2022
6/06/2022,662516,No_solucion,19:27:47,0 days 00:24:33,,19:27:46,0:00:01,0:08:47,155.920462,,19:00,Monday,June,2022
6/06/2022,662509,No_solucion,19:26:43,0 days 00:18:01,,19:26:42,0:00:01,0:03:54,22,,19:00,Monday,June,2022
6/06/2022,662515,No_solucion,19:25:40,0 days 00:25:01,,19:25:39,0:00:01,5:33:34,35,,19:00,Monday,June,2022
6/06/2022,662514,No_solucion,19:25:00,0 days 00:21:37,,19:24:58,0:00:02,0:04:59,155.920462,,19:00,Monday,June,2022
6/06/2022,662513,No_solucion,19:24:00,0 days 00:19:42,,19:23:59,0:00:01,0:04:45,24,,19:00,Monday,June,2022
6/06/2022,662508,No_solucion,19:17:59,0 days 00:11:11,,19:17:59,0:00:00,0:05:32,27,,19:00,Monday,June,2022
6/06/2022,662506,No_solucion,19:13:57,0 days 00:08:21,,19:13:55,0:00:02,0:02:57,155.920462,,19:00,Monday,June,2022
6/06/2022,662504,No_solucion,19:11:48,0 days 00:22:18,,19:51:16,0:00:03,0:09:16,155.920462,,19:00,Monday,June,2022
6/06/2022,662503,No_solucion,19:11:31,0 days 00:16:25,,,0:00:02,0:08:36,30,,19:00,Monday,June,2022
6/06/2022,662500,No_solucion,19:05:57,0 days 00:21:36,,19:05:56,0:00:01,0:10:22,30,,19:00,Monday,June,2022
6/06/2022,662495,No_solucion,19:04:05,0 days 00:32:24,,19:04:01,0:00:04,0:13:47,40,,19:00,Monday,June,2022
6/06/2022,662496,No_solucion,19:03:40,,,19:03:40,0:00:00,0:05:51,26,,19:00,Monday,June,2022
6/06/2022,662497,No_solucion,19:02:52,0 days 00:58:16,,,0:00:04,0:21:11,49,,19:00,Monday,June,2022
6/06/2022,662492,No_solucion,19:02:36,0 days 00:17:09,,19:02:35,0:00:01,0:03:11,155.920462,,19:00,Monday,June,2022
6/06/2022,662490,No_solucion,18:59:43,0 days 00:18:19,,18:59:41,0:00:02,0:07:00,33,,18:30,Monday,June,2022
6/06/2022,662486,No_solucion,18:58:51,,,20:45:13,0:03:08,0:10:36,36,,18:30,Monday,June,2022
6/06/2022,662484,No_solucion,18:57:20,0 days 00:43:01,,18:54:58,0:02:22,0:13:28,83,,18:30,Monday,June,2022
6/06/2022,662482,No_solucion,18:55:44,0 days 00:22:59,,13:33:43,0:00:53,0:10:17,30,,18:30,Monday,June,2022
6/06/2022,662483,No_solucion,18:53:46,0 days 00:37:32,,,0:00:02,0:19:31,41,,18:30,Monday,June,2022
6/06/2022,662477,No_solucion,18:51:39,0 days 00:18:43,,18:46:40,0:04:59,0:10:05,27,,18:30,Monday,June,2022
6/06/2022,662478,No_solucion,18:50:15,0 days 00:16:42,,18:46:39,,0:09:10,155.920462,,18:30,Monday,June,2022
6/06/2022,662474,No_solucion,18:50:15,0 days 00:13:48,,18:48:19,,0:06:16,20,,18:30,Monday,June,2022
6/06/2022,662467,No_solucion,18:49:59,0 days 00:21:15,,,0:11:18,0:07:06,155.920462,,18:30,Monday,June,2022
6/06/2022,662463,No_solucion,18:37:55,0 days 00:27:55,,18:37:53,0:00:02,0:13:17,29,,18:30,Monday,June,2022
6/06/2022,662457,No_solucion,18:37:29,,,18:36:40,0:00:49,0:07:24,155.920462,,18:30,Monday,June,2022
6/06/2022,662461,No_solucion,18:36:37,0 days 00:24:39,,18:36:34,0:00:03,0:13:15,20,,18:30,Monday,June,2022
6/06/2022,662459,No_solucion,18:36:23,0 days 00:17:09,,18:36:21,0:00:02,0:03:32,155.920462,,18:30,Monday,June,2022
6/06/2022,662460,No_solucion,18:35:46,0 days 00:24:27,,18:35:45,0:00:01,0:07:59,25,,18:30,Monday,June,2022
6/06/2022,662458,No_solucion,18:35:31,0 days 00:23:54,,,0:00:25,0:11:37,155.920462,,18:30,Monday,June,2022
6/06/2022,662454,No_solucion,18:35:31,,,18:32:35,0:02:56,0:08:14,155.920462,,18:30,Monday,June,2022
6/06/2022,662450,No_solucion,18:35:24,,,18:29:06,0:06:18,0:09:07,47,,18:30,Monday,June,2022
6/06/2022,662462,No_solucion,18:35:24,,,18:26:55,0:08:29,0:11:34,155.920462,,18:30,Monday,June,2022
6/06/2022,662452,No_solucion,18:35:24,0 days 00:16:15,,18:32:06,,11:31:38,22,,18:30,Monday,June,2022
6/06/2022,662451,No_solucion,18:35:02,,,9:09:17,0:04:46,0:22:46,63,,18:30,Monday,June,2022
6/06/2022,662446,No_solucion,18:34:57,0 days 00:46:39,,18:28:58,0:05:59,0:22:50,155.920462,,18:30,Monday,June,2022
6/06/2022,662455,No_solucion,18:34:41,0 days 00:25:04,,13:31:27,0:00:01,0:19:42,155.920462,,18:30,Monday,June,2022
6/06/2022,662449,No_solucion,18:33:43,0 days 00:31:38,,,0:04:59,0:04:22,18,,18:30,Monday,June,2022
6/06/2022,662447,No_solucion,18:30:23,0 days 00:30:30,,18:27:08,0:03:15,0:17:23,39,,18:30,Monday,June,2022
6/06/2022,662445,No_solucion,18:29:29,0 days 00:26:13,,18:25:44,0:03:45,0:13:14,34,,18:00,Monday,June,2022
6/06/2022,662441,No_solucion,18:25:02,,,18:25:00,,0:15:18,34,,18:00,Monday,June,2022
6/06/2022,662442,No_solucion,18:24:25,,,18:24:24,0:00:01,0:10:39,155.920462,,18:00,Monday,June,2022
6/06/2022,662439,No_solucion,18:23:57,0 days 00:13:31,,18:23:55,,0:05:32,155.920462,,18:00,Monday,June,2022
6/06/2022,662440,No_solucion,18:23:18,0 days 00:11:43,,18:23:17,0:00:01,0:06:49,20,,18:00,Monday,June,2022
6/06/2022,662435,No_solucion,18:20:54,0 days 00:47:44,,18:20:51,0:00:03,0:15:20,155.920462,,18:00,Monday,June,2022
6/06/2022,662432,No_solucion,18:20:41,0 days 00:21:33,,18:20:41,0:00:00,0:06:48,20,,18:00,Monday,June,2022
6/06/2022,662433,No_solucion,18:19:58,0 days 00:32:39,,18:19:56,0:00:02,0:10:54,44,,18:00,Monday,June,2022
6/06/2022,662429,No_solucion,18:18:20,0 days 00:19:22,,18:18:18,0:00:02,0:08:14,35,,18:00,Monday,June,2022
6/06/2022,662431,No_solucion,18:17:43,0 days 00:11:46,,17:46:32,0:00:03,0:04:10,30,,18:00,Monday,June,2022
6/06/2022,662425,No_solucion,18:14:06,0 days 00:19:36,,18:14:05,0:00:01,0:09:41,155.920462,,18:00,Monday,June,2022
6/06/2022,662417,No_solucion,18:12:04,0 days 00:22:52,,18:12:04,,8:57:25,155.920462,,18:00,Monday,June,2022
6/06/2022,662421,No_solucion,18:10:36,,,18:10:34,0:00:02,4:28:58,155.920462,,18:00,Monday,June,2022
6/06/2022,662419,No_solucion,18:09:51,,,18:09:48,0:00:03,0:04:05,155.920462,,18:00,Monday,June,2022
6/06/2022,662418,No_solucion,18:09:05,,,,,0:14:36,155.920462,,18:00,Monday,June,2022
6/06/2022,662416,No_solucion,18:04:55,0 days 00:31:25,,18:04:54,0:00:01,0:03:48,155.920462,,18:00,Monday,June,2022
6/06/2022,662415,No_solucion,18:04:50,0 days 00:31:14,,18:04:47,0:00:03,0:13:07,27,,18:00,Monday,June,2022
6/06/2022,662412,No_solucion,18:04:17,0 days 00:45:42,,18:04:15,0:00:02,0:18:19,65,,18:00,Monday,June,2022
6/06/2022,662410,No_solucion,18:03:36,,,,0:00:02,0:02:15,155.920462,,18:00,Monday,June,2022
6/06/2022,662407,No_solucion,18:02:43,,,18:02:42,0:00:01,0:04:08,20,,18:00,Monday,June,2022
6/06/2022,662405,No_solucion,18:01:45,0 days 00:28:37,,18:01:44,0:00:01,0:04:43,155.920462,,18:00,Monday,June,2022
6/06/2022,662403,No_solucion,17:59:16,0 days 00:28:27,,17:59:15,0:00:01,0:07:45,40,,17:30,Monday,June,2022
6/06/2022,662402,No_solucion,17:56:45,0 days 00:18:44,,14:06:05,0:00:01,0:06:13,155.920462,,17:30,Monday,June,2022
6/06/2022,662400,No_solucion,17:53:58,0 days 00:21:11,,17:53:57,,0:07:36,31,,17:30,Monday,June,2022
6/06/2022,662345,No_solucion,17:53:22,0 days 00:07:16,,,0:00:00,0:01:03,12,,17:30,Monday,June,2022
6/06/2022,662398,No_solucion,17:53:05,0 days 00:11:01,,17:53:03,0:00:02,14:24:47,11,,17:30,Monday,June,2022
6/06/2022,662397,No_solucion,17:52:19,,,,,0:10:01,39,,17:30,Monday,June,2022
6/06/2022,662390,No_solucion,17:48:40,0 days 00:09:13,,17:48:32,0:00:08,0:03:11,155.920462,,17:30,Monday,June,2022
6/06/2022,662387,No_solucion,17:44:22,0 days 00:18:49,,17:44:20,0:00:02,0:40:31,155.920462,,17:30,Monday,June,2022
6/06/2022,662386,No_solucion,17:44:17,0 days 00:09:40,,10:56:19,0:00:02,0:05:30,155.920462,,17:30,Monday,June,2022
6/06/2022,662385,No_solucion,17:43:37,0 days 00:24:33,,17:43:33,0:00:04,0:10:04,28,,17:30,Monday,June,2022
6/06/2022,662381,No_solucion,17:39:05,,,20:13:27,0:00:00,0:09:01,34,,17:30,Monday,June,2022
6/06/2022,662352,No_solucion,17:36:41,0 days 00:25:37,,17:36:41,,0:10:35,27,,17:30,Monday,June,2022
6/06/2022,662379,No_solucion,17:36:07,0 days 00:26:58,,17:36:04,0:00:03,0:12:13,33,,17:30,Monday,June,2022
6/06/2022,662378,No_solucion,17:35:06,0 days 00:23:56,,,,0:09:02,155.920462,,17:30,Monday,June,2022
6/06/2022,662371,No_solucion,17:33:29,0 days 00:17:23,,17:33:28,0:00:01,0:03:26,26,,17:30,Monday,June,2022
6/06/2022,662374,No_solucion,17:33:15,0 days 00:17:14,,17:33:12,0:00:03,0:04:25,23,,17:30,Monday,June,2022
6/06/2022,662372,No_solucion,17:31:00,0 days 00:09:28,,17:30:59,0:00:01,0:03:19,155.920462,,17:30,Monday,June,2022
6/06/2022,662370,No_solucion,17:29:17,,,17:29:15,0:00:02,0:05:18,155.920462,,17:00,Monday,June,2022
6/06/2022,662369,No_solucion,17:26:59,0 days 00:25:13,,17:26:58,0:00:01,0:05:56,43,,17:00,Monday,June,2022
6/06/2022,662367,No_solucion,17:24:27,0 days 00:28:23,,17:24:26,0:00:01,0:08:45,48,,17:00,Monday,June,2022
6/06/2022,662366,No_solucion,17:22:24,0 days 00:43:41,,17:22:22,0:00:02,0:27:01,46,,17:00,Monday,June,2022
6/06/2022,662365,No_solucion,17:22:08,0 days 00:24:24,,15:15:16,0:00:07,0:05:41,32,,17:00,Monday,June,2022
6/06/2022,662358,No_solucion,17:21:20,0 days 00:41:01,,,0:00:03,0:12:37,58,,17:00,Monday,June,2022
6/06/2022,662363,No_solucion,17:21:10,,,17:21:09,0:00:01,0:07:03,155.920462,,17:00,Monday,June,2022
6/06/2022,662364,No_solucion,17:20:47,0 days 00:20:05,,17:20:45,0:00:02,0:07:58,155.920462,,17:00,Monday,June,2022
6/06/2022,662362,No_solucion,17:20:41,0 days 00:12:50,,11:17:19,0:00:02,0:03:13,14,,17:00,Monday,June,2022
6/06/2022,662360,No_solucion,17:19:31,,,17:19:29,,0:01:25,11,,17:00,Monday,June,2022
6/06/2022,662359,No_solucion,17:19:05,0 days 00:11:30,,17:19:02,0:00:03,0:02:54,12,,17:00,Monday,June,2022
6/06/2022,662356,No_solucion,17:16:44,0 days 00:12:42,,17:16:43,0:00:01,14:37:53,155.920462,,17:00,Monday,June,2022
6/06/2022,662357,No_solucion,17:15:04,,,17:15:02,0:00:02,0:06:58,155.920462,,17:00,Monday,June,2022
6/06/2022,662352,No_solucion,17:11:29,0 days 00:25:02,,17:11:23,0:00:06,0:11:51,155.920462,,17:00,Monday,June,2022
6/06/2022,662355,No_solucion,17:10:58,,,17:10:55,0:00:03,0:03:51,155.920462,,17:00,Monday,June,2022
6/06/2022,662353,No_solucion,17:10:23,0 days 00:18:44,,17:10:21,0:00:02,0:08:31,24,,17:00,Monday,June,2022
6/06/2022,662347,No_solucion,17:09:17,0 days 00:16:35,,17:09:16,0:00:01,7:54:36,155.920462,,17:00,Monday,June,2022
6/06/2022,662351,No_solucion,17:07:33,0 days 00:19:01,,17:07:26,0:00:07,0:06:27,30,,17:00,Monday,June,2022
6/06/2022,662350,No_solucion,17:06:14,0 days 00:30:30,,17:06:13,0:00:01,0:14:14,155.920462,,17:00,Monday,June,2022
6/06/2022,662349,No_solucion,17:05:02,0 days 00:31:51,,17:05:00,,18:01:05,44,,17:00,Monday,June,2022
6/06/2022,662348,No_solucion,17:03:10,0 days 00:31:06,,17:03:08,0:00:02,0:14:28,155.920462,,17:00,Monday,June,2022
6/06/2022,662345,No_solucion,16:59:16,,,16:59:15,0:00:01,0:15:32,73,,16:30,Monday,June,2022
6/06/2022,662340,No_solucion,16:58:42,0 days 00:20:47,,16:58:41,0:00:01,0:04:49,155.920462,,16:30,Monday,June,2022
6/06/2022,662341,No_solucion,16:57:38,0 days 00:23:48,,16:57:36,0:00:02,0:11:00,45,,16:30,Monday,June,2022
6/06/2022,662339,No_solucion,16:55:46,0 days 00:21:56,,16:55:44,0:00:02,0:03:51,155.920462,,16:30,Monday,June,2022
6/06/2022,662338,No_solucion,16:54:40,0 days 00:10:48,,16:54:37,0:00:03,0:03:07,21,,16:30,Monday,June,2022
6/06/2022,662335,No_solucion,16:48:19,,,16:48:18,0:00:01,0:05:52,155.920462,,16:30,Monday,June,2022
6/06/2022,662333,No_solucion,16:47:28,0 days 00:20:00,,16:47:27,0:00:01,0:04:05,17,,16:30,Monday,June,2022
6/06/2022,662331,No_solucion,16:45:18,0 days 00:13:08,,16:45:16,0:00:02,0:06:22,24,,16:30,Monday,June,2022
6/06/2022,662329,No_solucion,16:43:56,,,16:43:54,0:00:02,0:14:20,49,,16:30,Monday,June,2022
6/06/2022,662330,No_solucion,16:43:55,0 days 01:04:31,,,0:00:02,0:27:54,155.920462,,16:30,Monday,June,2022
6/06/2022,662325,No_solucion,16:40:18,,,16:40:16,0:00:02,0:01:15,155.920462,,16:30,Monday,June,2022
6/06/2022,662321,No_solucion,16:37:19,0 days 00:17:52,,16:37:17,0:00:02,0:06:31,155.920462,,16:30,Monday,June,2022
6/06/2022,662320,No_solucion,16:36:01,0 days 00:16:44,,16:35:59,0:00:02,0:06:03,155.920462,,16:30,Monday,June,2022
6/06/2022,662318,No_solucion,16:35:28,0 days 00:33:08,,16:35:26,0:00:02,12:27:23,44,,16:30,Monday,June,2022
6/06/2022,662319,No_solucion,16:35:08,0 days 00:40:42,,16:35:06,0:00:02,0:10:57,51,,16:30,Monday,June,2022
6/06/2022,662317,No_solucion,16:34:12,,,16:33:40,0:00:32,0:25:17,155.920462,,16:30,Monday,June,2022
6/06/2022,662316,No_solucion,16:32:13,0 days 00:09:51,,16:32:12,0:00:01,0:05:12,155.920462,,16:30,Monday,June,2022
6/06/2022,662312,No_solucion,16:29:11,0 days 00:26:11,,16:29:10,0:00:01,0:03:47,155.920462,,16:00,Monday,June,2022
6/06/2022,662310,No_solucion,16:27:09,0 days 00:29:57,,16:27:08,0:00:01,0:11:57,58,,16:00,Monday,June,2022
6/06/2022,662306,No_solucion,16:26:55,,,16:26:53,0:00:02,0:03:38,155.920462,,16:00,Monday,June,2022
6/06/2022,662307,No_solucion,16:26:45,0 days 00:24:56,,16:26:43,0:00:02,0:06:55,52,,16:00,Monday,June,2022
6/06/2022,662303,No_solucion,16:26:10,,,15:26:28,0:00:01,0:02:37,19,,16:00,Monday,June,2022
6/06/2022,662305,No_solucion,16:25:46,,,,0:00:02,0:04:13,155.920462,,16:00,Monday,June,2022
6/06/2022,662304,No_solucion,16:25:17,0 days 00:56:24,,19:47:27,0:00:01,0:39:15,155.920462,,16:00,Monday,June,2022
6/06/2022,662299,No_solucion,16:24:58,0 days 00:07:09,,3:07:00,0:00:01,0:03:21,155.920462,,16:00,Monday,June,2022
6/06/2022,662298,No_solucion,16:21:44,,,16:21:42,,0:15:47,14,,16:00,Monday,June,2022
6/06/2022,662296,No_solucion,16:21:18,0 days 00:17:59,,16:21:16,0:00:02,0:06:04,40,,16:00,Monday,June,2022
6/06/2022,662290,No_solucion,16:19:19,0 days 00:16:19,,16:19:19,0:00:00,0:05:50,27,,16:00,Monday,June,2022
6/06/2022,662289,No_solucion,16:16:04,0 days 00:16:23,,17:48:24,0:00:01,0:07:35,46,,16:00,Monday,June,2022
6/06/2022,662286,No_solucion,16:12:06,0 days 00:22:08,,16:12:05,,0:11:23,43,,16:00,Monday,June,2022
6/06/2022,662287,No_solucion,16:11:55,0 days 00:23:50,,16:11:53,0:00:02,0:09:21,155.920462,,16:00,Monday,June,2022
6/06/2022,662283,No_solucion,16:09:30,0 days 00:32:54,,16:09:24,0:00:06,0:09:23,155.920462,,16:00,Monday,June,2022
6/06/2022,662280,No_solucion,16:09:18,0 days 00:25:58,,16:09:12,0:00:06,0:12:59,155.920462,,16:00,Monday,June,2022
6/06/2022,662277,No_solucion,16:09:06,0 days 00:13:09,,16:09:03,0:00:03,0:07:35,155.920462,,16:00,Monday,June,2022
6/06/2022,662282,No_solucion,16:08:32,0 days 00:16:20,,16:08:31,0:00:01,0:05:53,155.920462,,16:00,Monday,June,2022
6/06/2022,662279,No_solucion,16:08:21,0 days 00:39:05,,,0:00:01,0:25:47,43,,16:00,Monday,June,2022
6/06/2022,662276,No_solucion,16:07:24,0 days 00:06:31,,,0:00:01,0:01:59,23,,16:00,Monday,June,2022
6/06/2022,662273,No_solucion,16:06:20,0 days 00:27:29,,16:06:18,0:00:02,0:12:55,155.920462,,16:00,Monday,June,2022
6/06/2022,662267,No_solucion,16:05:24,0 days 00:12:46,,16:05:21,,0:04:28,155.920462,,16:00,Monday,June,2022
6/06/2022,662274,No_solucion,16:05:15,0 days 00:12:53,,18:33:50,0:00:07,0:07:57,24,,16:00,Monday,June,2022
6/06/2022,662266,No_solucion,16:05:08,0 days 00:20:14,,,0:00:01,0:04:36,155.920462,,16:00,Monday,June,2022
6/06/2022,662271,No_solucion,16:04:29,,,16:04:28,0:00:01,0:04:17,155.920462,,16:00,Monday,June,2022
6/06/2022,662269,No_solucion,16:04:24,,,16:04:22,0:00:02,0:19:30,67,,16:00,Monday,June,2022
6/06/2022,662272,No_solucion,16:03:30,0 days 00:18:05,,16:03:28,0:00:02,0:04:48,25,,16:00,Monday,June,2022
6/06/2022,662270,No_solucion,16:03:10,,,,,0:08:03,25,,16:00,Monday,June,2022
6/06/2022,662263,No_solucion,16:00:42,,,,,0:12:26,155.920462,,16:00,Monday,June,2022
6/06/2022,662260,No_solucion,16:00:29,,,,0:00:03,0:06:36,22,,16:00,Monday,June,2022
6/06/2022,662257,No_solucion,16:00:07,0 days 00:13:11,,16:00:05,0:00:02,0:02:30,20,,16:00,Monday,June,2022
6/06/2022,662261,No_solucion,16:00:03,0 days 00:15:10,,16:00:02,,0:05:52,155.920462,,16:00,Monday,June,2022
6/06/2022,662259,No_solucion,15:59:48,0 days 00:10:33,,15:59:46,0:00:02,18:29:09,155.920462,,15:30,Monday,June,2022
6/06/2022,662256,No_solucion,15:58:56,,,15:58:55,0:00:01,0:03:27,21,,15:30,Monday,June,2022
6/06/2022,662249,No_solucion,15:57:06,,,5:19:59,,0:00:42,155.920462,,15:30,Monday,June,2022
